tiempo,a_x,a_y,a_z,a_mod
0.000000000000000000e+00,-9.184515679993958404e-02,1.416894320227329584e-01,9.798544908360593553e+00,9.799999681078251257e+00
3.500000000000000333e-02,-9.184514146858728523e-02,1.416894432792772385e-01,9.798544940592078589e+00,9.799999713324016426e+00
6.500000000000000222e-02,-9.184515183863044274e-02,1.416894621033072676e-01,9.798544948968308077e+00,9.799999722068349683e+00
1.000000000000000056e-01,-9.184514731998937032e-02,1.416894758720091685e-01,9.798544970355314021e+00,9.799999743608900360e+00
1.350000000000000089e-01,-9.184514961739664862e-02,1.416894914779422698e-01,9.798544985260036810e+00,9.799999758758575652e+00
1.650000000000000078e-01,-9.184514667326318382e-02,1.416895019821503843e-01,9.798545000927873616e+00,9.799999774548364684e+00
2.000000000000000111e-01,-9.184514931089325651e-02,1.416895159229163703e-01,9.798545013520790548e+00,9.799999787365690551e+00
2.300000000000000100e-01,-9.184514945343361103e-02,1.416895262852929382e-01,9.798545025160571242e+00,9.799999799154898383e+00
2.650000000000000133e-01,-9.184514830645171268e-02,1.416895370725338166e-01,9.798545038881018243e+00,9.799999813018523298e+00
2.999999999999999889e-01,-9.184514758644710120e-02,1.416895472764351238e-01,9.798545051403914741e+00,9.799999825680341559e+00
3.300000000000000155e-01,-9.184513584341184866e-02,1.416895508865922970e-01,9.798545070101239318e+00,9.799999844317030195e+00
3.649999999999999911e-01,-9.184514698494487817e-02,1.416895646735568393e-01,9.798545071970652387e+00,9.799999846489917843e+00
3.950000000000000178e-01,-9.184513866714670571e-02,1.416895686847299274e-01,9.798545086836066176e+00,9.799999861333164475e+00
4.299999999999999933e-01,-9.184514687917874620e-02,1.416895801195121873e-01,9.798545089683409870e+00,9.799999864422375140e+00
4.650000000000000244e-01,-9.184514964192411202e-02,1.416895887779839880e-01,9.798545096121690889e+00,9.799999871010777852e+00
4.949999999999999956e-01,-9.184513754836994004e-02,1.416895899490351329e-01,9.798545112377400557e+00,9.799999887167665236e+00
5.300000000000000266e-01,-9.184513346137945788e-02,1.416895949344116057e-01,9.798545123071971119e+00,9.799999897894425160e+00
5.600000000000000533e-01,-9.184514094531263939e-02,1.416896032660274751e-01,9.798545123312024430e+00,9.799999898325040704e+00
5.949999999999999734e-01,-9.184514071393963530e-02,1.416896089961565686e-01,9.798545130085067001e+00,9.799999905177756432e+00
6.300000000000000044e-01,-9.184513255771720175e-02,1.416896111553656579e-01,9.798545142564790922e+00,9.799999917610405120e+00
6.600000000000000311e-01,-9.184514014282882388e-02,1.416896185407489628e-01,9.798545141621406884e+00,9.799999916845028025e+00
